Что не является элементом погоды?, Ветер, Атмосферные осадки, Климотические пояса V, Влажность воздуха

Как называется тепловая характеристика окружающей среды?, Облачность, Влажность воздуха, Температура V, Атмосферные осадки

Какой фактор не оказывает влияние на формирование климата?, Рельеф, Удаленность от океанов, Растительный и животный мир V, Солнечная радиация

Какая отрасль хозяйственной деятельности человека больше всего зависит от климата?, Промышленность, Торговля, Сельское хозяйство V, Животноводство

Как называется прибор, измеряющий температуру?, Барометр, Манометр, Дождемер, Термометр V


